n_estimators,max_depth,F1_Score
10,5.0,0.7717041800643086
10,10.0,0.8040435458786936
10,20.0,0.8117913832199547
10,,0.7846277021617294
50,5.0,0.7829581993569131
50,10.0,0.8285492629945694
50,20.0,0.8406015037593985
50,,0.8401826484018264
100,5.0,0.7807228915662651
100,10.0,0.8261886204208886
100,20.0,0.8493565480696442
100,,0.8500376789751318
200,5.0,0.7888
200,10.0,0.8304821150855366
200,20.0,0.8472012102874432
200,,0.8459804658151766
