Kernel,C,F1_Score
linear,0.1,0.7449814126394052
linear,1.0,0.7376201034737621
linear,10.0,0.7376201034737621
linear,100.0,0.7376201034737621
rbf,0.1,0.8324324324324325
rbf,1.0,0.8666164280331575
rbf,10.0,0.8850488354620586
rbf,100.0,0.886721680420105
cosine,0.1,0.7969111969111969
cosine,1.0,0.8205904617713853
cosine,10.0,0.8042010502625656
cosine,100.0,0.7642276422764228
